"Gender","Height","Weight"
"Male",69.1798576188774,192.014335412005
"Male",72.870360147235,211.342496819640
"Male",64.7825829779871,165.611626182250
"Male",70.1835498874837,201.071918099568
"Male",68.4914502529394,173.423960346601
"Male",67.3308308810162,181.407679285937
"Male",66.9909440825232,169.737707400252
"Male",66.4995499002499,163.309528309674
"Male",68.3530566463988,189.710209942456
"Male",70.7744590703974,192.124847346168
"Male",71.2159236694709,198.1984641076
"Male",70.0133653490674,209.526499837126
"Male",71.4031822207589,198.759792659859
"Male",69.5520050948319,198.079523654438
"Male",73.8185345577699,195.290612189727
"Male",66.99688275225,164.943302997003
"Male",71.4184658930907,179.863902339297
"Male",65.2793002090043,155.250420694049
"Male",68.2741914742284,184.519391248574
"Male",72.7653699463424,220.678041465283
"Male",68.0993798003468,183.31265530722
"Male",68.8967060721692,196.451312291183
"Male",69.2895099633052,184.595608300273
"Male",70.5232245234565,207.532838518544
"Male",69.6637252265179,177.200928752348
"Male",67.5952688079157,163.108002209381
"Male",72.5081203801037,216.218230112735
"Male",71.2529856038086,204.655493822323
"Male",71.8091868893668,200.920571219495
"Male",72.2451654792519,220.901769881142
"Male",66.5126276609347,196.449860340782
"Male",66.0290340048182,168.640810039015
"Male",67.577153942735,181.432713008126
"Male",68.2465686016242,198.658673326418
"Male",73.8261270026308,237.916735863185
"Male",69.8024643604904,173.041255909233
"Male",65.9595777848988,160.683916639879
"Male",71.0790175757451,188.602919070666
"Male",66.5961965372077,208.345694035109
"Male",68.9515350928246,193.435118452271
"Male",68.2444617923064,174.109693790620
"Male",72.3168251228452,197.368589249335
"Male",71.8154204495308,201.620666747742
"Male",65.2370495188386,181.011973240364
"Male",70.6405300907292,182.122485978660
"Male",64.731925597255,177.549263423371
"Male",67.1035511824075,164.974580682475
"Male",65.1174848880457,165.717112190107
"Male",71.7012340230177,193.094163543063
"Male",66.8328782059274,180.683886970857
"Male",66.4712752615182,172.773722928412
"Male",67.7183933664317,182.361396476652
"Male",68.5222310437138,188.053333094449
"Male",66.3513311088302,171.685169645879
"Male",68.180093074225,172.962111007754
"Male",71.8787168799373,211.041211202106
"Male",71.7655591994397,200.800921111292
"Male",71.1535238540064,210.048406699503
"Male",66.0943192986516,175.648762705368
"Male",70.8158798619579,186.597895634720
"Male",71.3018406964116,206.164718336642
"Male",69.806290688136,186.673516437421
"Male",65.5223891849772,175.571312856724
"Male",68.5583535155871,191.088939684088
"Male",72.2674140170487,211.464487907527
"Male",63.5805658253015,142.174759588665
"Male",71.0447560719962,205.843338309040
"Male",65.678390073919,163.142051843036
"Male",65.2073466646762,151.875669056137
